"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"CDH4" 62 61 126 77 63 122 122 34 89
"SMCO3" 45 12 18 21 9 43 21 19 7
"RAD23A" 3976 4717 5660 4155 4850 3490 3726 5211 3934
"PCARE" 3 0 6 6 1 4 4 1 1
"GADD45GIP1" 2761 4137 4065 3228 3839 2168 3317 3615 3112
"DAND5" 26 32 31 18 28 21 22 16 34
"TMEM151A" 0 0 0 0 2 2 0 0 0
"PTPN11" 10018 8632 14313 8122 8632 7164 9757 12421 11213
"NSUN7" 538 524 955 684 808 743 741 435 1041
"RTL3" 0 0 0 0 0 0 0 0 0
"FAM156B" 1 3 2 6 6 3 5 5 4
"WSCD1" 465 818 1382 448 745 277 675 422 1131
"RAB39A" 12 14 11 38 32 87 7 8 6
"CLK3" 4072 4356 5166 4554 4301 3304 3922 5369 3876
"HLA-DQB1" 164 103 751 214 75 738 83 147 538
"GATA2" 4730 5554 8112 4892 4955 5726 5398 8466 6360
"ARID3B" 3142 2958 4639 2960 3572 2506 3042 2070 3536
"TMEM31" 25 44 35 24 38 23 32 44 36
"PACS2" 1301 1181 1932 1176 1237 955 1691 714 1602
"ELMOD2" 2026 1624 2311 1821 1613 1069 2221 782 2575
"EGR3" 118 254 139 77 151 187 63 992 107
"CATSPERE" 38 27 57 28 31 34 45 52 74
"GPC5" 90 119 52 65 56 55 82 33 65
"VWA1" 13045 12201 20853 12169 14872 7186 16688 7972 11924
"DNAJB8" 0 0 0 0 0 0 1 0 1
"GEMIN4" 741 748 1115 826 761 593 982 1595 896
"HNRNPCL4" 1 0 0 1 0 0 0 1 0
"FJX1" 693 448 1461 606 419 832 998 800 872
"KLHL28" 1203 1042 1543 1236 1269 1026 1264 952 1291
"MKRN3" 381 440 295 376 457 149 552 563 407
"ZBTB18" 634 687 764 615 804 324 658 547 659
"OR9A2" 0 0 0 0 0 1 0 0 1
"C14orf28" 234 228 351 264 286 203 276 268 247
"ALOX12B" 7 0 3 8 1 1 1 3 1
"SLC17A8" 1 14 2 23 1 19 8 1 3
"SHARPIN" 5285 6194 7079 5742 6682 3522 5208 5660 4812
"LBX2" 24 34 55 44 43 59 49 36 52
"DNHD1" 445 489 558 417 564 376 420 183 880
"SLITRK4" 4 4 48 24 29 19 7 1 7
"HTR1D" 16 28 32 12 17 40 21 45 16
"GCC1" 7194 7295 9719 7466 8231 4824 7386 8824 7662
"LSMEM2" 272 414 402 225 314 245 244 538 355
"RNF151" 0 0 1 0 1 0 1 2 0
"CIITA" 746 707 1131 712 641 645 789 401 824
"ZFPM1" 210 167 263 235 176 158 177 85 193
"ALOX15B" 69 19 149 227 28 47 45 3 8
"PLD6" 165 275 283 186 377 147 210 444 183
"GPHB5" 0 0 0 0 0 0 0 0 0
"GRM8" 6 21 13 5 12 20 8 11 17
"CDC42EP4" 7414 6011 6427 8959 7430 3932 7155 5838 4991
"OR2AP1" 0 0 1 0 0 0 0 0 0
"OR6C4" 0 0 0 0 0 0 0 0 0
"ZBTB42" 153 85 202 172 143 371 156 77 146
"LACC1" 1837 942 1307 1508 1114 1227 1416 1126 1207
"MAF1" 4322 5280 5480 4661 5670 2684 4071 4723 3733
"TPPP2" 14 6 8 14 19 5 23 9 8
"FCER1A" 3 2 0 2 0 1 0 3 1
"RPRML" 0 0 5 0 0 0 2 0 0
"ARL14" 0 1 2 0 0 4 0 2 0
"OR6C2" 0 1 1 1 0 0 0 0 0
"WDR97" 6 8 17 5 12 11 18 16 22
"NLRP8" 1 2 2 3 1 1 1 0 2
"PCED1B" 256 192 173 235 252 280 164 139 147
"APOBEC3B" 203 473 278 284 487 449 134 447 330
"SYCN" 0 1 0 0 0 0 0 1 0
"PIPOX" 72 90 406 186 141 2760 89 185 81
"FOXS1" 91 117 26 71 129 10 93 173 42
"ATOH7" 1 8 0 2 4 1 2 4 2
"CDH5" 11906 18355 10422 7748 17554 5771 7908 18509 8058
"LRRC3B" 2 2 1 2 0 3 1 0 0
"FAM216B" 0 0 2 3 0 4 0 0 0
"MRGPRX4" 0 0 0 0 0 0 0 0 0
"MYADM" 2993 4825 3685 2909 3568 4431 2458 5163 2043
"MRGPRX3" 9 4 4 4 0 14 3 0 0
"MROH1" 3242 2200 4110 3115 2801 2753 3153 1902 3747
"SERTAD2" 5562 5165 4879 6598 6326 3191 4807 3530 4073
"AKAP5" 51 64 105 77 86 168 48 97 76
"NKPD1" 13 4 18 16 7 17 13 4 23
"GIPC3" 16 29 23 7 9 13 15 8 3
"RNF227" 66 66 123 82 49 86 100 167 58
"CITED4" 264 172 359 208 204 157 244 158 104
"ABCA13" 12 26 15 8 5 10 9 5 2
"NLRP11" 1 4 5 2 3 3 1 3 3
"TIGD5" 247 205 535 284 195 217 320 115 300
"PDXDC1" 13177 12734 18575 12847 14343 10941 11957 11240 14528
"C1orf194" 1 4 2 3 1 6 2 1 6
"ZNF154" 89 67 59 40 71 50 140 86 115
"R3HDM2" 1592 1533 2201 1843 2062 1456 1783 728 2242
"B3GNT3" 5413 2771 4800 6497 3565 2636 3755 1374 3189
"ITLN1" 3 5 7 4 5 12 3 10 2
"NRXN1" 30 71 31 35 13 36 15 15 7
"SEPHS2" 2144 1911 4063 2230 2007 1887 2691 2075 2892
"OR10A7" 0 0 0 0 0 0 0 0 0
"GPBAR1" 11 21 67 32 45 157 26 27 18
"ZNF784" 233 152 216 219 213 208 247 239 209
"ZNF648" 0 0 2 0 0 1 0 0 0
"C14orf119" 3737 2980 3494 3620 3141 2075 3146 4018 2923
"CCR8" 1 0 0 0 0 1 0 0 1
"GOLGA8J" 0 0 1 0 0 0 0 0 0
"BBS10" 360 512 533 462 528 296 480 404 558
"FIZ1" 438 422 756 484 431 405 493 331 536
"PUF60" 3914 4315 5879 3823 4122 3622 4122 9149 4640
"SSC5D" 36 32 488 17 34 199 39 42 26
"DCTPP1" 981 1407 1419 1146 1281 552 1373 1383 1442
"ZNF771" 1011 1486 1514 1193 1349 582 1429 1491 1516
"TSHZ1" 448 1022 656 546 1020 301 818 426 628
"PSTK" 936 1025 1087 990 1139 754 956 1011 1092
"SOCS4" 923 816 1344 776 761 844 880 2445 1086
"ZADH2" 922 984 1131 1004 1083 621 1227 868 1102
"OR1E1" 2 0 1 0 1 4 1 0 0
"ZNF48" 178 225 518 222 228 210 271 189 352
"FAM71E2" 0 0 0 2 2 2 0 0 2
"C3orf80" 2 1 0 1 4 2 0 1 1
"NKX2-6" 0 0 1 0 0 0 0 0 0
"TMEM150B" 28 27 38 50 81 200 22 15 33
"ANKRD18A" 5 5 5 51 13 24 3 6 0
"WFDC11" 0 1 3 0 1 1 3 0 1
"TMEM86B" 84 79 110 81 87 58 80 66 58
"OR3A1" 1 0 1 0 0 1 0 0 1
"SEPTIN1" 37 57 124 47 46 73 65 47 60
"TRNAU1AP" 1136 771 997 1032 776 515 986 893 1108
"EXOC3" 3317 2067 3579 3249 2617 2256 3200 2472 3420
"TDRD6" 126 111 245 93 138 500 94 36 83
"C12orf40" 780 895 1240 795 887 382 1113 263 1030
"CSNK1A1L" 2 1 1 1 0 2 3 3 1
"LYNX1" 46 15 93 25 13 103 48 25 10
"TH" 19 5 14 19 9 17 26 5 17
"MED14" 2052 2033 3280 1947 2234 1724 2025 1498 2943
"FAHD1" 892 1008 889 874 934 464 1214 905 877
"TDRP" 9924 7984 12122 9453 8550 5743 11407 10650 12240
"RCC1" 3817 4693 4616 3491 3594 2294 3530 8984 4804
"WFDC9" 0 0 0 0 0 0 0 0 0
"MYLPF" 19 36 69 14 45 14 24 58 59
"F2" 6 0 1 3 0 3 4 2 5
"FAM71C" 0 0 0 0 0 0 0 0 0
"PRKRA" 1612 1763 1757 1818 1945 1684 1467 1800 1623
"ZNRF2" 3610 2629 2510 4114 2976 1808 3635 1977 2988
"RRH" 2 6 3 9 3 6 4 3 4
"SLC9A4" 12 2 11 6 0 6 6 1 3
"ZNF816" 476 636 863 712 760 582 694 665 913
"PRNT" 0 0 0 0 0 0 0 0 0
"FGD6" 2063 1022 1639 1624 1380 1911 1632 698 2015
"ADGRD2" 1 2 1 1 1 2 4 2 2
"GPR139" 0 4 0 0 1 1 0 1 1
"PLD5" 308 329 203 254 251 267 365 825 273
"OAZ2" 4268 6052 5681 4464 5763 2128 4969 4060 4967
"WFDC10A" 0 0 0 0 0 0 0 0 0
"PNPLA1" 21 2 8 11 5 16 8 2 2
"ALX1" 2 0 6 1 0 1 2 1 6
"CCDC43" 771 996 1262 940 1038 762 1065 1248 1212
"KCTD4" 10 5 7 1 2 7 3 53 13
"MEIOC" 776 1005 1267 947 1045 763 1083 1260 1224
"FZD2" 20 31 26 35 36 61 20 49 15
"TIGD2" 2057 800 1970 1971 1001 1141 1682 1366 1671
"ITPRID1" 10 9 2 1 4 8 2 4 1
"HCLS1" 6934 3857 9085 6813 5272 5968 6992 4067 7200
"MTURN" 744 630 563 561 622 242 662 621 502
"ZNF609" 4268 5560 8096 4874 7664 5142 4001 4070 5725
"PAK2" 5961 7334 8603 5927 6795 6244 6227 9494 6248
"CCDC66" 796 732 955 690 853 621 817 696 1069
"DEFB124" 11 16 40 5 23 9 13 17 2
"KRTAP9-7" 0 0 0 0 0 0 0 0 0
"MCFD2" 11721 11084 17520 10686 11345 7829 11847 12385 12313
"HARBI1" 411 300 504 361 333 336 341 420 343
"DEFB123" 0 1 0 0 0 0 3 0 0
"C11orf71" 315 373 306 303 358 152 359 681 331
"CYP8B1" 9077 5735 5801 8742 6005 5476 7713 12267 5734
"OR6K6" 0 0 0 0 0 0 0 0 1
"SERTM1" 1 0 0 1 0 1 1 0 2
"GAS1" 454 445 6009 364 459 2425 502 340 390
"ARHGAP45" 4035 2153 2733 4748 2015 2611 4850 2118 2615
"OR10Q1" 0 0 1 0 0 0 0 0 1
"ZNF571" 220 244 268 196 297 198 291 246 350
"GLIPR1L2" 42 23 46 38 33 16 80 10 75
"DEFB119" 0 1 1 0 0 0 0 0 0
"MIGA1" 2147 1932 2794 2369 1931 1396 2588 1079 2310
"KCNE1" 120 20 25 54 14 21 60 10 16
"PRR26" 8 5 12 4 5 14 4 11 12
"NRIP1" 7890 4619 7805 8841 4756 7210 8912 9521 7007
"ZSCAN4" 171 152 256 186 221 143 146 181 303
"BHLHA15" 3 1 14 2 3 16 9 7 2
"RNF182" 55 52 56 75 70 22 81 38 56
"TSPYL5" 52 105 195 28 60 136 38 43 84
"FUT7" 2 1 4 2 1 5 1 0 4
"HIST1H2AC" 2628 1455 1413 2740 1919 2141 2069 2285 1118
"EIF2S3B" 8 21 32 18 20 18 15 21 16
"SKIDA1" 107 115 195 99 150 113 181 101 166
"HIST1H2BC" 408 379 336 381 401 480 310 729 255
"MB21D2" 4024 2277 3779 3666 3149 1967 3046 1514 3455
"GSX2" 0 0 1 1 0 0 0 0 0
"SSTR2" 42 173 67 63 133 83 26 69 33
"ZNF594" 42 69 167 92 78 82 120 73 246
"PCGF5" 1661 1627 2068 2563 2570 2575 1634 1045 1380
"SLC47A2" 6 13 24 1 10 10 10 3 25
"PRF1" 27 21 261 13 38 715 7 10 12
"OR2A4" 0 0 0 0 0 0 2 0 1
"MAB21L1" 5 2 2 1 0 2 4 1 0
"YOD1" 1251 1678 1611 971 1597 1073 833 3571 1053
"TMEM64" 1505 1992 2295 1512 1922 969 1521 1918 2394
"C3orf22" 0 0 2 2 3 1 2 2 1
"OR10K2" 0 1 0 0 0 0 0 0 0
"CHRM4" 5 1 5 2 0 3 2 6 0
"SHISA2" 7 47 14 8 7 24 7 160 7
"S1PR5" 18 7 26 18 16 21 10 15 20
"CLRN3" 0 0 5 0 0 0 1 1 0
"GPR157" 4491 2778 4925 5516 3938 1485 4760 1482 4980
"CHST13" 0 0 2 2 4 2 2 3 1
"AGTR2" 0 0 0 0 0 0 0 0 0
"SLC36A4" 1245 1249 1829 1084 1068 1024 958 807 1654
"ZDHHC20" 8660 7266 7430 8856 7814 4548 7389 5386 8732
"ANKRD30B" 21 13 18 43 40 16 49 173 36
"OR51E1" 4 30 5 4 17 0 7 14 23
"ZFP3" 98 46 171 94 73 110 128 79 166
"ARSJ" 301 283 500 282 171 138 355 179 145
"HOXC9" 20 32 9 21 36 15 17 38 13
"MAP3K15" 408 442 478 362 387 217 454 359 426
"PPA1" 7759 12543 9509 8751 12106 6361 8489 11503 9147
"HOXC10" 3 26 3 6 23 2 6 15 6
"PSMG4" 6225 3392 7943 5338 4456 2515 6624 1371 6513
"BHLHE22" 1 0 16 0 0 17 0 1 0
"MAP6D1" 80 87 85 77 54 72 82 81 68
"ZNF443" 240 229 327 293 292 184 357 212 327
"CXCR2" 21 11 23 11 17 11 33 7 20
"DEFB112" 0 0 0 0 0 0 0 0 0
"GREM2" 2922 441 1014 1590 803 465 1558 403 1302
"C11orf42" 6 15 13 16 20 9 17 4 22
"SSR4" 4196 4406 4833 4865 4369 3612 4080 4918 3266
"CAPS2" 127 71 230 176 166 131 275 85 313
"ZNF792" 79 105 84 100 125 51 130 35 69
"CUEDC1" 334 593 540 252 524 475 348 433 342
"SCRIB" 3299 2974 5391 3503 3538 2661 4087 2548 3705
"KCTD2" 6904 7868 8676 6880 7688 4215 7413 8210 7284
"D2HGDH" 1362 1060 2538 1397 1652 1417 2028 797 3357
"OXTR" 68 42 443 68 45 179 37 35 21
"CMTR2" 1670 1128 1706 1553 1391 1063 1709 1510 1516
"OR56B4" 1 1 1 0 0 0 1 0 1
"FAM83H" 2021 1462 4152 1933 1533 2391 2778 4883 2639
"GPR62" 5 2 4 2 2 0 0 4 1
"OR56A1" 0 0 0 0 0 0 0 0 1
"ZNF572" 68 42 112 101 72 63 149 36 143
"ST20" 760 380 764 585 505 386 603 297 1178
"PITPNB" 5974 5539 7283 5020 5922 4891 5104 7874 5787
"TCEAL8" 2953 2939 3388 3146 3057 1497 3355 1472 3029
"OR52E4" 21 22 9 20 22 8 31 36 13
"LRRC57" 860 635 975 863 732 640 719 1004 846
"OR52N2" 4 0 0 1 0 1 1 0 2
"MRPL14" 2888 3111 2178 2930 2820 1206 2596 2913 2100
"GPR137C" 23 45 36 34 28 13 42 24 62
"C1orf105" 2476 1560 2711 2233 1697 1216 2255 1639 2313
"OR52N1" 0 2 1 0 0 1 0 0 1
"BBS12" 193 209 374 212 282 147 217 230 257
"ZFP82" 286 370 544 285 311 400 448 689 509
"OR52N5" 4 5 1 3 6 0 4 4 9
"LSMEM1" 192 159 120 170 157 96 145 524 180
"NQO1" 169 584 637 215 507 278 133 821 586
"OR56B1" 0 0 0 1 1 0 0 1 2
"AEN" 2014 2353 2341 1871 2024 2310 2046 10558 1964
"FKRP" 5657 5379 7966 6822 6357 5502 4569 3575 5295
"TRAPPC5" 1567 1345 1542 1903 1395 723 1596 949 1182
"RPH3AL" 45 85 91 60 99 75 48 84 42
"SLC25A42" 430 1431 1136 546 1188 598 574 697 809
"FCRL6" 4 0 7 2 1 12 2 0 1
"METTL23" 604 589 923 580 548 375 676 482 635
"SLC26A11" 1008 1301 1940 1064 1330 1175 1144 849 1492
"HIGD1A" 8386 7721 6650 7719 7032 4537 6820 10841 6051
"CHRM2" 16 77 14 10 61 13 30 33 66
"OR52N4" 1 0 2 4 6 8 0 3 1
"MAPK15" 0 16 9 10 4 21 11 11 13
"EHMT1" 2367 1936 3617 2072 2288 2119 2308 1187 3197
"ADIPOQ" 0 1 1 4 0 0 0 0 0
"F2R" 158 239 1693 202 232 1189 246 101 165
"ZNF707" 290 299 479 321 395 371 324 254 393
"MUC16" 1024 267 239 813 547 279 487 134 295
"NPM1" 31074 32403 32308 29606 30161 15824 35333 38830 32946
"PJA1" 3371 2295 2960 3114 2320 1445 4522 2222 2390
"DHTKD1" 1809 1907 3184 2362 2035 1515 2372 1905 2803
"PENK" 8 30 49 14 24 22 0 18 4
"C4orf50" 3 10 2 1 1 5 4 2 4
"HIST3H2A" 171 445 321 226 266 168 129 550 147
"ZNF746" 1176 1052 1708 1172 1003 1147 1178 1878 1397
"POLR2A" 9619 5230 8558 9390 6925 8679 9677 36356 7470
"TMEM132C" 19 13 413 9 6 230 9 11 10
"SLC25A41" 37 15 36 80 33 26 52 20 36
"TMEM136" 512 507 449 468 624 226 599 506 515
"OR5AK2" 0 0 0 0 0 0 0 0 0
"FRAT2" 446 749 937 623 793 461 590 702 759
"TMEM102" 456 271 643 501 327 371 505 117 421
"TMEM132E" 2 3 2 1 1 2 0 2 0
"ZNF322" 165 143 216 160 202 125 179 150 202
"NME9" 975 981 1471 960 1002 919 1067 512 1246
"SPEM1" 0 0 1 0 0 2 0 0 0
"HEPHL1" 90 92 121 74 132 87 80 71 173
"LRRC75A" 9894 13398 7921 10768 11284 2867 11266 11941 8726
"OR5M8" 0 0 0 0 0 0 0 0 0
"CCL13" 93 44 58 484 1004 457 16 48 21
"CFAP65" 1 0 1 2 0 2 1 0 0
"DDX60L" 2551 1011 1662 15687 12785 23569 1811 3600 1555
"SYNE4" 251 321 496 299 296 203 351 221 394
"OGFOD3" 1078 1003 1507 1171 1159 912 1322 882 1121
"WASHC1" 67 151 94 60 204 63 60 186 110
"UTS2R" 1 0 0 0 0 0 0 0 0
"AATK" 63 117 111 37 98 128 79 84 71
"DDN" 4 5 14 8 2 3 12 13 8
"SAGE1" 1 5 0 1 0 2 0 0 0
"ZNF467" 61 111 61 93 122 111 80 54 54
"SOX2" 6 0 2 1 2 0 0 1 1
"ZNF678" 233 251 230 235 258 165 247 136 352
"TMEM45A" 2791 1139 2599 2582 1211 1407 3385 796 1170
"RAP2B" 2318 1443 2012 1986 1662 1354 1734 3086 1561
"ZBTB2" 1160 1316 1380 1328 1250 1378 1196 2355 1121
"RNF135" 1306 1508 2477 1524 2060 1543 1486 868 2072
"OR6T1" 0 1 0 0 0 0 0 0 0
"ACBD4" 144 194 276 184 239 136 199 164 256
"OR8D4" 1 0 0 0 0 0 1 0 0
"SGSH" 2561 1992 3559 2692 2665 2447 2447 1953 2597
"MAB21L2" 37 0 0 149 0 0 0 4 2
"FANCB" 146 182 230 135 165 134 143 551 287
"EDDM3B" 1 0 0 0 0 0 0 0 1
"SETD2" 4224 3725 5873 4431 4457 3933 4807 4190 5340
"EDDM3A" 4 0 2 3 1 2 1 0 0
"C6orf223" 74 17 26 72 34 22 54 12 29
"TMIE" 10 2 28 10 3 5 15 8 10
"MEX3D" 2865 2927 3147 4707 2962 2726 4101 2533 2401
"OR52D1" 0 0 0 0 1 0 0 0 0
"MRPS23" 1587 1850 1979 1613 1631 1054 1758 2525 2026
"OR52H1" 3 0 1 0 1 3 0 2 5
"FDCSP" 25 0 10 6 3 0 0 0 0
"GPR135" 37 45 39 49 39 53 63 44 84
"SLX1B" 0 1 1 0 0 0 2 1 1
"ANKRD62" 0 1 1 0 1 1 0 1 0
"P2RY13" 6 2 2 10 8 6 1 1 2
"TNFSF15" 693 624 1044 662 938 375 891 335 774
"ZFP41" 13 22 71 25 34 87 27 27 47
"PHLDA2" 13921 15422 21000 14637 16175 10350 12710 11878 10504
"ATG9B" 3842 3709 4264 3888 3674 5195 3505 3651 4169
"GPR88" 0 0 0 0 2 2 2 0 0
"ZNF875" 1177 1347 1672 1276 1534 1027 1489 1316 1993
"PLAG1" 1228 1287 1273 1291 1671 626 1175 426 1754
"OR8H1" 0 0 0 0 0 0 0 0 0
"OR5T1" 0 0 0 0 0 0 0 0 0
"YIPF6" 5450 4992 7235 5333 5206 4042 4936 6773 5695
"OR5T2" 0 0 0 0 0 0 0 0 0
"ZBTB20" 270 369 358 307 375 308 421 178 337
"OR2Z1" 0 0 1 1 0 1 0 0 0
"DIPK2A" 551 781 893 505 739 431 587 825 389
"C5orf30" 6369 3092 3468 7198 3917 5008 3827 2549 2789
"OR8K5" 0 0 0 0 0 0 0 0 0
"AMIGO1" 44 129 267 38 166 79 108 73 214
"OR8H3" 0 0 0 0 0 0 0 0 0
"OR8H2" 0 0 0 0 0 0 0 0 0
"GPR3" 18 52 17 10 24 11 31 123 13
"TMEM252" 1 0 10 0 0 2 1 0 0
"ODF3L2" 0 7 4 0 6 1 1 1 1
"OR5AS1" 0 1 1 0 0 1 0 0 0
"ACTL9" 0 0 0 0 0 0 0 0 0
"SIAH2" 9864 9860 11858 9332 10966 6771 7590 13355 8798
"COPG1" 9479 7764 11157 9283 9212 5886 8649 5193 8005
"ADGRB1" 51 112 14 56 129 31 43 73 29
"OR6S1" 0 0 0 0 0 0 0 0 0
"SLC9A9" 180 198 211 174 255 135 134 164 125
"LSM10" 642 839 917 633 734 425 677 487 702
"RELL1" 4638 2427 2638 3509 2431 2623 3585 9033 1845
"RFX7" 1554 1731 2593 1747 1822 1325 2175 1692 2448
"SLC35C1" 957 736 1456 957 809 795 1139 466 936
"TIGIT" 3 0 62 4 1 81 1 3 1
"RNF41" 2155 1899 3171 1980 1820 1522 1898 1854 2259
"SLC2A4" 22 22 4 20 36 3 10 22 9
"FTMT" 0 0 0 0 1 0 0 0 0
"IBA57" 492 318 604 415 361 373 533 993 548
"CLDN7" 10694 7535 7028 9036 7416 5369 6866 10992 5924
"ZNF329" 403 488 901 484 602 425 554 611 695
"ZNF101" 353 317 400 379 371 384 322 553 379
"OR4C6" 0 0 0 0 0 0 0 0 0
"C5orf24" 1985 1865 2677 1752 1808 1323 2301 1218 2345
"ADO" 861 940 1721 911 933 870 988 987 1313
"COA4" 1354 1740 2144 1504 1507 908 1581 2189 2027
"OR4P4" 0 0 0 0 0 0 0 0 0
"PRKAG1" 2896 2717 3415 2977 2730 1966 2925 2944 3160
"GINS3" 307 230 370 323 273 202 378 675 352
"OR4C15" 0 0 0 0 0 0 0 0 0
"OR4A15" 0 0 0 0 0 0 0 0 0
"OR4A16" 0 0 0 0 0 0 0 0 0
"OR52K2" 0 0 0 0 1 3 0 0 0
"NEUROG1" 0 0 0 0 0 0 0 0 0
"CCDC149" 1989 1578 2399 1964 2287 1103 1671 851 2091
"MRPS11" 974 1003 1217 862 885 488 1000 902 1068
"SNRPE" 1150 1473 1550 1291 1397 712 1466 1599 1465
"RTKN2" 144 305 315 212 272 212 255 253 488
"PNMA8A" 140 382 10 160 387 7 223 125 16
"CHST15" 978 428 1395 584 407 889 585 198 488
"ADIG" 0 3 0 1 0 0 1 0 0
"USH1G" 1 1 1 3 0 2 3 6 6
"MGAT4C" 11 37 16 17 8 20 19 5 17
"TRIM49B" 0 1 0 0 0 0 0 0 0
"IDH2" 18324 16940 20509 20430 18843 9088 24774 10463 18475
"OR52A1" 0 0 0 0 0 0 0 0 0
"PTCHD3" 2 4 3 4 0 4 2 0 1
"OR6B2" 0 0 0 0 0 0 0 0 0
"TMEM259" 6320 6735 10376 6991 7382 5999 7096 6064 6129
"WRB" 647 757 929 637 761 359 941 406 874
"TNRC18" 6799 5534 7308 9544 7314 6578 9756 2828 4802
"FAM181B" 0 0 10 2 0 2 0 0 3
"TMEM30B" 2922 1573 3016 3320 1868 1773 2658 3023 2449
"DEXI" 1141 1135 1812 1143 1037 786 1269 687 1247
"ZNF716" 1 2 2 0 3 3 0 0 0
"NOP10" 1878 2634 2239 2076 2366 1343 1903 2852 1815
"FAM89A" 4993 7580 9343 5929 7846 3629 6101 5921 7446
"KCNIP1" 29 30 60 38 27 57 21 33 20
"TDRKH" 221 349 409 256 312 148 338 190 313
"ZNF708" 197 199 328 175 217 212 241 356 402
"IST1" 13792 11641 16171 14331 14260 10687 12805 17774 13253
"ERCC6L2" 379 343 777 493 384 548 358 389 780
"MRPL41" 556 894 852 586 751 456 565 752 593
"ENPP7" 0 0 0 0 0 0 0 0 1
"CREB3L2" 20703 12713 17679 19215 14848 11640 17235 9542 14391
"P2RY8" 0 0 0 0 0 0 0 0 0
"UNC5C" 57 94 27 69 97 39 63 51 50
"MRGPRG" 0 0 0 0 0 0 0 1 0
"TSEN54" 409 443 604 501 385 337 567 552 505
"RGMA" 115 198 577 147 200 273 216 219 332
"ASB18" 1 1 0 1 2 3 9 2 1
"UBA7" 801 615 741 2611 1767 3034 971 722 674
"MRPS16" 3252 2509 4055 3197 2644 1782 3341 2662 3495
"SHISAL2A" 3 2 6 3 6 8 5 7 11
"RAD51B" 1413 717 1269 1268 1008 1027 1480 816 2205
"CRYGB" 0 0 1 0 1 0 0 0 2
"LDOC1" 78 14 40 14 66 106 4 12 3
"ARL6IP4" 5054 5539 6031 5170 5569 2767 5242 4843 5208
"EXT1" 1921 2844 2364 2291 3133 1676 2194 1228 1699
"SHMT2" 7964 5473 9548 7448 5210 5044 6670 3812 6362
"MOB2" 1054 1137 1238 1099 1134 787 1088 782 897
"HHIPL1" 19 40 52 36 28 55 34 30 12
"ATP6AP2" 5833 7717 9477 5834 7856 5626 5020 6049 7628
"ZAR1" 0 0 1 0 0 1 0 1 0
"CYB5D1" 463 576 772 458 573 299 728 956 693
"FAM153B" 5 0 37 3 2 10 5 1 3
"BACE2" 24426 10155 10628 19419 11307 6613 12686 8432 9784
"UBE2E2" 2675 2198 1753 2499 2179 1186 2052 609 1692
"SYNM" 387 786 372 462 754 201 761 820 545
"KCNA4" 0 8 5 0 2 1 2 3 2
"GABRG3" 10 31 11 20 14 12 18 8 4
"NLRP10" 22 5 44 7 4 50 10 72 25
"FIGN" 717 1008 1545 916 1317 781 912 650 2154
"IZUMO1" 2 3 6 1 6 3 0 14 7
"TMIGD1" 1 0 5 2 0 3 2 1 3
"B4GALNT4" 12 5 8 15 8 2 5 1 0
"AP1S2" 847 1041 564 692 1002 373 732 1067 649
"C8orf33" 1494 2106 2081 1584 1976 1202 1872 3799 2004
"DCAF4L1" 6 15 12 8 17 9 6 3 17
"SPACA6" 597 229 572 548 386 433 631 471 592
"MBD3L3" 0 0 0 0 0 0 0 0 0
"ZSCAN22" 157 111 202 126 153 102 141 155 140
"KCNJ14" 143 112 226 97 147 171 146 178 252
"FBXL6" 893 1186 1646 924 1071 915 1070 1566 1181
"C1S" 1511 1156 6435 2054 1735 4738 1105 1038 1122
"GLTPD2" 18 21 28 14 19 21 34 14 16
"KIAA2012" 24 113 74 9 99 40 8 179 43
"PRAMEF8" 0 0 0 0 0 0 0 0 0
"LIPF" 0 0 0 0 0 0 0 0 0
"OR5P3" 4 1 2 0 0 6 0 6 13
"DAOA" 0 0 0 2 0 0 4 0 3
"ZNF804B" 5 29 9 13 5 12 0 4 5
"KBTBD3" 351 470 348 364 452 137 403 233 467
"YBEY" 194 139 182 183 117 80 277 132 194
"CLN8" 2847 2339 3328 1789 2058 1387 2301 3357 2398
"PLCXD1" 0 0 0 0 0 0 0 0 0
"NXPH4" 185 202 349 280 209 118 308 175 204
"CACNB4" 49 83 35 43 53 25 48 37 47
"IFNL1" 2 0 1 17 9 9 1 2 1
"TRAPPC6B" 1028 972 1311 895 1093 929 966 1048 1365
"PGBD4" 50 48 63 28 37 42 34 54 62
"CDY2A" 0 0 0 0 0 0 0 0 0
"NPLOC4" 7158 6414 11189 6171 7524 7301 5354 8654 8062
"OTOL1" 0 0 0 0 0 0 0 0 0
"KCNK4" 7 3 74 7 8 11 10 6 6
"TEX19" 1 1 1 4 0 1 2 0 1
"TSHZ2" 109 124 313 133 163 168 77 120 225
"CAPN12" 1270 1384 1809 1212 1476 1239 1165 2104 1475
"EXOC7" 3448 3349 7324 3665 4336 3915 4199 5289 5568
"KPNA2" 3292 5201 4668 2854 4375 2951 3254 13234 4422
"XKRX" 22 5 15 5 4 8 7 5 26
"BGN" 3087 4374 5882 5714 5281 10123 3129 4816 2910
"CEP97" 318 420 483 345 326 254 407 558 446
"LHFPL1" 2 4 11 15 24 10 18 11 18
"FES" 424 497 502 456 564 509 413 322 405
"GLRX5" 1856 2559 2644 1881 2451 1135 2479 2438 2372
"FAM104B" 287 448 439 277 405 167 420 306 467
"TBPL2" 3 11 4 6 4 4 8 3 4
