"","x"
"1874",7.481
"1875",7.508
"1876",7.539
"1877",7.581
"1878",7.491
"1879",7.537
"1880",7.557
"1881",7.548
"1882",7.469
"1883",7.445
"1884",7.532
"1885",7.517
"1886",7.523
"1887",7.545
"1888",7.488
"1889",7.516
"1890",7.519
"1891",7.536
"1892",7.477
"1893",7.53
"1894",7.484
"1895",7.579
"1896",7.522
"1897",7.556
"1898",7.495
"1899",7.521
"1900",7.482
"1901",7.536
"1902",7.543
"1903",7.537
"1904",7.463
"1905",7.562
"1906",7.504
"1907",7.512
"1908",7.559
"1909",7.546
"1910",7.505
"1911",7.49
"1912",7.547
"1913",7.501
"1914",7.544
"1915",7.593
"1916",7.505
"1917",7.565
"1918",7.508
"1919",7.551
"1920",7.496
"1921",7.518
"1922",7.551
"1923",7.519
"1924",7.496
"1925",7.551
"1926",7.469
"1927",7.486
"1928",7.525
"1929",7.516
"1930",7.467
"1931",7.525
"1932",7.5
"1933",7.5
"1934",7.472
"1935",7.491
"1936",7.523
"1937",7.5
"1938",7.52
"1939",7.575
"1940",7.5
"1941",7.503
"1942",7.459
"1943",7.531
"1944",7.497
"1945",7.51
"1946",7.527
"1947",7.504
"1948",7.531
"1949",7.489
"1950",7.519
"1951",7.567
"1952",7.528
"1953",7.477
"1954",7.484
"1955",7.492
"1956",7.431
"1957",7.478
"1958",7.516
"1959",7.519
"1960",7.508
"1961",7.45
"1962",7.491
"1963",7.504
"1964",7.454
"1965",7.482
"1966",7.455
"1967",7.473
"1968",7.57
"1969",7.516
"1970",7.502
"1971",7.496
"1972",7.485
"1973",7.452
"1974",7.543
"1975",7.459
"1976",7.537
"1977",7.49
"1978",7.541
"1979",7.58
"1980",7.511
"1981",7.515
"1982",7.551
"1983",7.544
"1984",7.474
"1985",7.556
"1986",7.582
"1987",7.539
"1988",7.537
"1989",7.571
"1990",7.524
"1991",7.529
"1992",7.528
"1993",7.492
"1994",7.557
"1995",7.559
"1996",7.514
"1997",7.519
"1998",7.606
"1999",7.547
"2000",7.494
